
13/11/20;12:17:46;======= Depart des commandes exports de K+N =======;
Nø de commande client;Date de depart;Code article;Designation;Quantite;Lot;DLUO;Poids net;
0009622363;17/11/20;414212;LEERDAM PORTION 250G X12;20;SC2941D;19/05/21;60;
TOTAL;;;;20;;;60;

0009622363;17/11/20;424049;MINIBABY EMENT F6 120GX12;10;EV3081D;04/05/21;14,4;
TOTAL;;;;10;;;14,4;

0009622363;17/11/20;425644;SAMOS 20G 80P X6 PATE VIT;5;SA3001D;15/05/21;48;
TOTAL;;;;5;;;48;

0009622363;17/11/20;425992;PORT SALUT 6T 120Gx2X2BX1;10;172119;24/03/21;24;
TOTAL;;;;10;;;24;

0009622363;17/11/20;426984;PORT SALUT MEULE 2,250KGX;4;171612;26/04/21;9;
TOTAL;;;;4;;;9;

0009622363;17/11/20;427272;PORT SALUT PORTION1/8 185;5;171613;28/04/21;9,25;
TOTAL;;;;5;;;9,25;

0009622363;17/11/20;436053;KIRI CREME 80P 1440GX6;5;SA3001D;15/05/21;43,2;
TOTAL;;;;5;;;43,2;

0009622363;17/11/20;436285;SAMOS 8P 144GX20;111;SA3031D;15/05/21;319,68;
TOTAL;;;;111;;;319,68;

0009622363;17/11/20;437755;BABYBEL 200GX8 FR/ES PAV;20;SA3011D;27/07/21;32;
TOTAL;;;;20;;;32;

0009622363;17/11/20;438174;SYRTOS HERB PROV 300GX6;150;HS300XD;13/02/21;270;
TOTAL;;;;150;;;270;

0009622363;17/11/20;439306;KIRI CHEV 8P 144GX10 NX;150;SA3001D;01/05/21;216;
TOTAL;;;;150;;;216;

0009622363;17/11/20;439592;KIRI AFH 6P 108GX60;6;SA3022D;15/05/21;38,88;
;17/11/20;439592;KIRI AFH 6P 108GX60;44;SA3021D;15/05/21;285,12;
TOTAL;;;;50;;;324;

0009622363;17/11/20;440674;PIK&CROQ 5B 175GX12 NR;5;LS3081D;03/05/21;10,5;
;17/11/20;440674;PIK&CROQ 5B 175GX12 NR;20;LS3001D;26/04/21;42;
TOTAL;;;;25;;;52,5;

0009622363;17/11/20;440675;PIK&CROQ 8B 280GX12 NR;1;LS3141D;10/05/21;3,36;
;17/11/20;440675;PIK&CROQ 8B 280GX12 NR;9;LS3141D;10/05/21;30,24;
TOTAL;;;;10;;;33,6;

0009622363;17/11/20;445015;PIK&CROQ 1B 35GX20 NR;50;LS2931D;19/04/21;35;
TOTAL;;;;50;;;35;

0009622363;17/11/20;445744;PICON 8P 140GX48;25;DE2961D;19/07/21;168;
TOTAL;;;;25;;;168;

0009622363;17/11/20;447435;MINIBABY F6 120GX12 OSA;30;EV3071D;18/05/21;43,2;
TOTAL;;;;30;;;43,2;

0009622363;17/11/20;447436;MINIBABY F10 200GX12 OSA;20;EV3071D;18/05/21;48;
TOTAL;;;;20;;;48;

0009622363;17/11/20;447991;LEERDAM 8T 160GX11;100;106NKGD;13/03/21;176;
TOTAL;;;;100;;;176;

0009622363;17/11/20;448559;KIRI 6P 108GX60;40;SA3051D;15/05/21;259,2;
TOTAL;;;;40;;;259,2;

0009622363;17/11/20;448572;KIRI 12P 216GX40;4;SA3021D;15/05/21;34,56;
;17/11/20;448572;KIRI 12P 216GX40;11;SA2961D;08/05/21;95,04;
TOTAL;;;;15;;;129,6;

0009622363;17/11/20;448761;BOURSIN NAT 150GX6MODA 10;10;CR3071D;10/02/21;9;
TOTAL;;;;10;;;9;

0009622363;17/11/20;448784;BOURSIN ECHL CIB 150GX12;10;CR3081D;11/02/21;18;
TOTAL;;;;10;;;18;

0009622363;17/11/20;450869;BOURSIN CUISINE AFH 240GX;10;CR3091D;27/01/21;14,4;
TOTAL;;;;10;;;14,4;

0009622363;17/11/20;451115;VACHE QUI RIT 8P 128GX48;33;DE3111D;02/08/21;202,752;
;17/11/20;451115;VACHE QUI RIT 8P 128GX48;7;DE3111D;02/08/21;43,008;
TOTAL;;;;40;;;245,76;

0009622363;17/11/20;451116;VACHE QUI RIT 24P 384GX24;10;LS303ED;26/07/21;92,16;
TOTAL;;;;10;;;92,16;

0009622363;17/11/20;451133;VACHE QUI RIT 16P 256GX32;10;DE2961D;19/07/21;81,92;
TOTAL;;;;10;;;81,92;

0009622363;17/11/20;451134;VACHE QUI RIT 32P 512GX16;20;DE2961D;19/07/21;163,84;
TOTAL;;;;20;;;163,84;

0009622363;17/11/20;451149;KIRI GOUTER 5B 175GX12 NR;50;LS3031D;26/04/21;105;
TOTAL;;;;50;;;105;

0009622363;17/11/20;451151;KIRI GOUTER 8B 280GX12 NR;15;LS3031D;26/04/21;50,4;
TOTAL;;;;15;;;50,4;

0009622363;17/11/20;451436;KIRI NAT 1B 200G X18 FOT;15;CH2991D;23/05/21;54;
TOTAL;;;;15;;;54;

0009622363;17/11/20;452052;BOURSIN AFH 150GX12 MODA;10;CR3071D;17/02/21;18;
;17/11/20;452052;BOURSIN AFH 150GX12 MODA;20;CR2931D;03/02/21;36;
TOTAL;;;;30;;;54;

0009622363;17/11/20;452095;KIRI GREEK STYLE 1B 150GX;21;CH3011D;25/04/21;113,4;
;17/11/20;452095;KIRI GREEK STYLE 1B 150GX;29;CH3011D;25/04/21;156,6;
TOTAL;;;;50;;;270;

0009622363;17/11/20;452684;VACHE QUI RIT LE FONDANT;10;CH2971D;02/07/21;54;
TOTAL;;;;10;;;54;

0009622363;17/11/20;853000;LEERDAM 1/2MEULE 6,4KGX1;3;SC2931D;17/05/21;19,335;
TOTAL;;;;3;;;19,335;

TOTAL COMMANDE;;;;1138;;;3546,445;

*** FIN DE RAPPORT ***
